City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,akureyri,65.6835,-18.0878,2.96,87,100,0.51,IS,1725859630
322,lamu,-2.2717,40.902,25.6,80,44,6.24,KE,1725859630
323,kalengwa,-13.4659,25.0027,16.86,46,2,1.77,ZM,1725859630
324,enewetak,11.3474,162.3373,29.02,77,32,7.89,MH,1725859630
325,chiffa,36.4629,2.7387,24.23,73,10,0.53,DZ,1725859631
326,sandnessjoen,66.0217,12.6316,22.06,56,75,8.75,NO,1725859631
327,morehead city,34.7229,-76.726,20.56,83,100,0.89,US,1725859681
328,fort st. john,56.2499,-120.8529,9.94,100,100,1.03,CA,1725859631
329,crane,31.3974,-102.3501,22.75,42,0,4.55,US,1725859631
330,opuwo,-18.0607,13.84,15.51,35,0,1.77,NA,1725859631
331,zhanaozen,43.3,52.8,22.31,22,35,6.4,KZ,1725859631
332,brookhaven,31.5791,-90.4407,17.84,43,0,2.56,US,1725859631
333,kuala belait,4.5833,114.1833,31.33,61,85,2.83,BN,1725859681
334,patos,-7.0244,-37.28,21.62,76,1,7.29,BR,1725859631
335,makubetsu,45.3714,141.8211,20.84,56,75,2.57,JP,1725859631
336,mao,39.8885,4.2658,21.31,73,0,5.66,ES,1725859631
337,howard springs,-12.497,131.047,35.55,35,58,4.17,AU,1725859682
338,andergrove,-21.0833,149.1833,23.29,61,47,4.51,AU,1725859631
339,coyhaique,-45.5752,-72.0662,2.54,98,95,2.57,CL,1725859632
340,gulfport,30.3674,-89.0928,26.03,65,100,3.6,US,1725859632
341,song cau,13.45,109.2167,33.8,53,100,2.8,VN,1725859682
342,al lagowa,11.4,29.1333,23.9,82,70,1.96,SD,1725859682
343,cherdyn',60.403,56.4787,15.47,67,2,0.8,RU,1725859632
344,susuman,62.7833,148.1667,10.22,58,90,0.97,RU,1725859632
345,mirnyy,62.5353,113.9611,9.62,80,100,3.02,RU,1725859632
346,montrose,38.4166,-108.2673,10.4,44,59,1.38,US,1725859403
347,amos,48.5669,-78.1162,4.87,72,73,3.62,CA,1725859632
348,vavoua,7.3819,-6.4778,21.65,99,100,1.55,CI,1725859632
349,cruz alta,-28.6386,-53.6064,20.84,60,25,3.55,BR,1725859683
350,daru,-9.0763,143.2092,26.92,68,36,5.3,PG,1725859632
351,mana,5.6592,-53.7767,25.66,86,5,5.44,GF,1725859632
352,santanyi,39.3546,3.1291,21.75,78,0,4.15,ES,1725859632
353,whitehorse,60.7161,-135.0538,8.78,95,75,2.06,CA,1725859632
354,aldinga beach,-35.2793,138.4604,15.6,70,99,5.31,AU,1725859683
355,ulanhot,46.0833,122.0833,24.01,72,100,8.4,CN,1725859633
356,hami,42.8,93.45,23.54,17,0,2.53,CN,1725859633
357,plastun,44.7561,136.2939,21.85,64,21,2.93,RU,1725859633
358,moree,-29.4667,149.85,16.8,58,100,1.15,AU,1725859633
359,makinsk,52.6292,70.4169,15.65,69,80,3.59,KZ,1725859633
360,jiagedaqi,50.4167,124.1167,25.1,48,100,7.4,CN,1725859633
361,angaur state,6.906,134.13,29.11,76,40,5.99,PW,1725859684
362,ambato,-1.2491,-78.6168,10.81,70,98,4.02,EC,1725859633
363,qusmuryn,52.4503,64.6311,19.94,68,46,4.5,KZ,1725859633
364,tazovsky,67.4667,78.7,3.04,65,99,11.21,RU,1725859633
